experiment,image,backend,scale_px_per_mm,status,n_gt_px,n_auto_px,under_px,over_px,under_cov_frac,over_cov_frac,patch_area_err_pct,dice,iou,area_gt_mm2,area_auto_mm2,area_rel_err,cri_lambda3,under_cov_mm2,over_cov_mm2,hausdorff_mm,avg_surf_dist_mm,perimeter_gt_mm,perimeter_auto_mm,compactness_gt,compactness_auto,bbox_gt_major_mm,bbox_gt_minor_mm,bbox_auto_major_mm,bbox_auto_minor_mm,aspect_ratio_gt,aspect_ratio_auto,bbox_auto_x_mm,bbox_auto_y_mm,signed_area_err_pct,under_pct,over_pct,is_outlier
A,case_001,SAM,,ok,52615.0,51046.0,1738.0,169.0,0.033032,0.003212,2.98,0.9816,0.9639,52615.0,51046.0,0.0298,0.1023,,,8.311,2.444,828.77,810.64,0.9626,0.9761,291.78,241.63,282.18,236.41,0.8281,0.8378,282.18,236.41,-2.982039342392854,3.3032,0.3212,False
A,case_001,GrabCut,,ok,52615.0,48647.0,4262.0,294.0,0.081004,0.005588,7.54,0.955,0.9139,52615.0,48647.0,0.0754,0.2486,,,29.212,5.728,828.77,830.21,0.9626,0.8869,291.78,241.63,289.73,235.57,0.8281,0.8131,289.73,235.57,-7.541575596312838,8.1004,0.5588,False
A,case_001,Watershed,,ok,52615.0,45959.0,6827.0,171.0,0.129754,0.00325,12.65,0.929,0.8674,52615.0,45959.0,0.1265,0.3925,,,31.926,8.424,828.77,851.31,0.9626,0.7969,291.78,241.63,291.71,237.96,0.8281,0.8158,291.71,237.96,-12.650384871234438,12.9754,0.325,False
A,case_002,SAM,,ok,120524.0,96705.0,23819.0,0.0,0.197629,0.0,19.76,0.8904,0.8024,120524.0,96705.0,0.1976,0.5929,,,23.709,15.104,1617.27,1532.73,0.5791,0.5173,727.91,201.11,705.42,176.36,0.2763,0.25,705.42,176.36,-19.76286880621287,19.7629,0.0,False
A,case_002,GrabCut,,ok,120524.0,115860.0,9495.0,4831.0,0.078781,0.040083,3.87,0.9394,0.8857,120524.0,115860.0,0.0387,0.2764,,,30.758,8.889,1617.27,1675.15,0.5791,0.5188,727.91,201.11,744.77,211.77,0.2763,0.2843,744.77,211.77,-3.869768676778069,7.878100000000001,4.0083,False
A,case_002,Watershed,,ok,120524.0,105278.0,17932.0,2686.0,0.148784,0.022286,12.65,0.9087,0.8327,120524.0,105278.0,0.1265,0.4686,,,31.766,13.101,1617.27,1553.42,0.5791,0.5482,727.91,201.11,693.3,229.89,0.2763,0.3316,693.3,229.89,-12.649762702864159,14.8784,2.2286,False
A,case_003,SAM,,ok,11095.0,11170.0,277.0,352.0,0.024966,0.031726,0.68,0.9717,0.9451,11095.0,11170.0,0.0068,0.1066,,,6.327,1.7,394.82,397.68,0.8944,0.8876,153.69,98.23,155.22,97.51,0.6391,0.6282,155.22,97.51,0.67598017124831,2.4966,3.1725999999999996,False
A,case_003,GrabCut,,ok,11095.0,13167.0,150.0,2222.0,0.01352,0.20027,18.68,0.9022,0.8219,11095.0,13167.0,0.1868,0.2408,,,27.323,5.417,394.82,458.59,0.8944,0.7868,153.69,98.23,180.0,119.48,0.6391,0.6638,180.0,119.48,18.67507886435331,1.352,20.027,False
A,case_003,Watershed,,ok,11095.0,13594.0,274.0,2773.0,0.024696,0.249932,22.52,0.8766,0.7803,11095.0,13594.0,0.2252,0.324,,,34.668,7.14,394.82,484.57,0.8944,0.7275,153.69,98.23,182.24,124.77,0.6391,0.6847,182.24,124.77,22.52365930599369,2.4696,24.993199999999998,False
A,case_004,SAM,,ok,24938.0,23526.0,1575.0,163.0,0.063157,0.006536,5.66,0.9641,0.9308,24938.0,23526.0,0.0566,0.196,,,22.405,3.185,725.97,664.45,0.5946,0.6696,249.13,224.09,238.57,198.66,0.8995,0.8327,238.57,198.66,-5.662041863822279,6.3157000000000005,0.6536,False
